body,name
1,ogre
1,Ogre
1,Ogre
1,Wanderer
1,Ogre
1,Wanderer
3,zombie
3,Zombie
3,Cursed Soul
3,Zombie
3,Zombie
4,gargoyle
4,Gargoyle
4,Effete Putrid Gargoyle
4,Gargoyle
4,Gargoyle Shade
4,Hellion
4,Gargoyle
5,eagle
5,Eagle
5,Enraged Eagle
5,Phoenix
5,Eagle
5,Enraged Eagle
5,Macaw
5,Eagle
5,Enraged Eagle
5,Phoenix
6,crow
6,Bird
6,Tropical Bird
6,Bird
6,Tropical Bird
6,Bird
6,Tropical Bird
7,orc lord
7,Orc Captain
7,Orc Captain
7,Orc Chopper
7,Orc Captain
8,corpser
8,Corpser
8,Whipping Vine
8,Corpser
8,Tangling Roots
8,Whipping Vine
8,Corpser
8,Whipping Vine
9,daemon
9,Daemon
9,Daemon
9,Fire Daemon
9,Minion Of Scelestus
9,Daemon
10,daemon boss
11,Dread Spider
11,Anlorzen
11,Dread Spider
11,Virulent
11,Dread Spider
12,dragon
13,air elemental
13,Air Elemental
13,Crystal Vortex
13,Summoned Air Elemental
13,Air Elemental
13,Crystal Vortex
13,Flurry
13,Mistral
13,Summoned Air Elemental
13,Tempest
13,Air Elemental
13,Crystal Vortex
13,Summoned Air Elemental
14,earth elemental
14,Earth Elemental
14,Plague Spawn
14,Summoned Earth Elemental
14,Earth Elemental
14,Enraged Earth Elemental
14,Plague Spawn
14,Summoned Earth Elemental
14,Earth Elemental
14,Plague Spawn
14,Summoned Earth Elemental
15,fire elemental
15,Fire Elemental
15,Summoned Fire Elemental
15,Fire Elemental
15,Fire Elemental Renowned
15,Summoned Fire Elemental
15,Fire Elemental
15,Summoned Fire Elemental
16,water elemental
16,Summoned Water Elemental
16,Water Elemental
16,Summoned Water Elemental
16,Water Elemental
16,Summoned Water Elemental
16,Water Elemental
17,orc
17,Orc
17,Orc
17,Orc
18,ettin
18,Ettin
18,Ettin
18,Ettin
20,Frost Spider
20,Frost Spider
20,Frost Spider
21,giant serpent
21,Death Adder
21,Giant Serpent
21,Plague Spawn
21,Death Adder
21,Giant Serpent
21,Giant Serpent1
21,Giant Serpent2
21,Giant Serpent3
21,Giant Serpent4
21,Plague Spawn
21,Death Adder
21,Giant Serpent
21,Plague Spawn
22,gazer
22,Elder Gazer
22,Gazer
22,Elder Gazer
22,Gazer
22,Elder Gazer
22,Gazer
23,Dire Wolf
23,Aminia
23,Dire Wolf
23,Dire Wolf
24,liche
24,Lich
24,Lich
24,Lich
26,ghost
26,Shade
26,Spectre
26,Wraith
26,Frederic
26,Shade
26,Spectre
26,Wraith
26,Shade
26,Spectre
26,Wraith
28,giant spider
28,Giant Spider
28,Giant Spider
28,Giant Spider
29,gorilla
29,Gorilla
29,Plague Spawn
29,Gorilla
29,Plague Spawn
29,Gorilla
29,Plague Spawn
30,harpy
30,Harpy
30,Harpy
30,Harpy
31,headless
31,Headless One
31,Plague Spawn
31,Headless One
31,Plague Spawn
31,Headless One
31,Plague Spawn
33,lizardman
35,lizardman
36,lizardman
38,Servant Of Semidar
38,Servant Of Semidar
38,Servant Of Semidar
39,mongbat
39,Greater Mongbat
39,Mongbat
39,Strong Mongbat
39,Greater Mongbat
39,Mongbat
39,Strong Mongbat
39,Greater Mongbat
39,Mongbat
39,Strong Mongbat
40,Balron
40,Arch Daemon
40,Balron
40,Fire Daemon Renowned
40,Balron
42,rat-man
42,Ratman
42,Clan R C
42,Clan R S
42,Clan S H
42,Lenley
42,Ratman
42,Tikitavi Renowned
42,Ratman
43,Ice Fiend
43,Ice Fiend
43,Pit Fiend
43,Ice Fiend
44,rat-man
45,rat-man
46,Ancient Wyrm
46,Ancient Wyrm
46,Ancient Wyrm
47,reaper
47,Reaper
47,Reaper
47,Reaper
48,giant scorpion
48,Scorpion
48,Scorpion
48,Scorpion
50,skeleton
50,Szandor
51,slime
51,Corrosive Slime
51,Jwilson
51,Plague Spawn
51,Slime
51,Acid Slug
51,Corrosive Slime
51,Jwilson
51,Korpre
51,Plague Spawn
51,Slime
51,Corrosive Slime
51,Jwilson
51,Plague Spawn
51,Slime
52,small snake
52,Ice Snake
52,Lava Snake
52,Snake
52,Coral Snake
52,Ice Snake
52,Lava Snake
52,Snake
52,Ice Snake
52,Lava Snake
52,Snake
53,troll
54,troll
55,troll
55,Frost Troll
55,Frost Troll
55,Frost Troll
56,skeleton
57,skeleton knight
57,Bone Knight
57,Bone Knight
57,Bone Knight
58,wisp
58,Wisp
58,Mysterious Wisp
58,Ortanord
58,Wisp
58,Wisp
59,dragon
59,Stone Monster
60,drakes
61,drakes
62,Wyvern
62,Wyvern
62,Wyvern Renowned
62,Wyvern
63,Cougar
63,Cougar
63,Cougar
66,Swamp Tentacle
66,Swamp Tentacle
66,Swamp Tentacle
67,Stone Gargoyle
67,Stone Gargoyle
67,Stone Gargoyle
70,Terathan Warrior
70,Terathan Warrior
70,Terathan Warrior
71,Terathan Drone
71,Terathan Drone
71,Terathan Drone
72,Terathan Matriarch
72,Anlorlem
72,Terathan Matriarch
72,Terathan Matriarch
73,Stone Harpy
73,Stone Harpy
73,Stone Harpy
74,Imp
74,Anzuanord
74,Deadly Imp
74,Imp
74,Zeefzorpul
74,Imp
75,Cyclops
75,Cyclops
75,Cyclops
76,Titan
76,Titan
76,Titan
77,Kraken
77,Leviathan
77,Kraken
77,Leviathan
77,Kraken
77,Leviathan
78,Ancient Lich
78,Dark Guardian
78,Ancient Lich
78,Ancient Lich Renowned
78,Dark Guardian
78,Ancient Lich
78,Dark Guardian
79,Lich Lord
79,Lich Lord
79,Lich Lord
80,Giant Toad
80,Giant Toad
80,Giant Toad
81,Bull Frog
81,Bull Frog
81,Bull Frog
83,Ogre Lord
83,Ogre Lord
83,Stone Monster
83,Ogre Lord
85,Ophidian Archmage
85,Ophidian Mage
85,Ophidian Archmage
85,Ophidian Mage
85,Stone Monster
85,Ophidian Archmage
85,Ophidian Mage
86,Ophidian Knight
86,Ophidian Warrior
86,Ophidian Knight
86,Ophidian Warrior
86,Stone Monster
86,Ophidian Knight
86,Ophidian Warrior
87,Ophidian Matriarch
87,Ophidian Matriarch
87,Ophidian Matriarch
88,Mountain Goat
88,Mountain Goat
88,Mountain Goat
89,Ice Serpent
89,Giant Ice Worm
89,Ice Serpent
89,Ice Serpent
90,Lava Serpent
90,Lava Serpent
90,Lava Serpent
92,Silver Serpent
92,Silver Serpent
92,Silver Serpent
94,Frost Ooze
94,Frost Ooze
94,Frost Ooze
95,Turkey
95,Turkey
98,Hell Hound
98,Clan S S W
98,Hell Hound
98,Ice Hound
98,Hell Hound
99,Dark Wolf Familiar
99,Dark Wolf Familiar
99,Dark Wolf Familiar
101,Centaur
101,Twaulo
